c1	KS.8.lemma100.000	KS.8.lemma100.001	KS.8.lemma100.002	KS.8.lemma100.003	KS.8.lemma100.004	KS.8.lemma100.005	KS.8.lemma100.006	KS.8.lemma100.007	KS.8.lemma100.008	KS.8.lemma100.009	KS.8.lemma100.010	KS.8.lemma100.011	KS.8.lemma100.012	KS.8.lemma100.013	KS.8.lemma100.014	KS.8.lemma100.015	KS.8.lemma100.016	KS.8.lemma100.017	KS.8.lemma100.018	KS.8.lemma100.019	KS.8.lemma100.020	KS.8.lemma100.021	KS.8.lemma100.022	KS.8.lemma100.023	KS.8.lemma100.024	KS.8.lemma100.025	KS.8.lemma100.026	KS.8.lemma100.027	KS.8.lemma100.028	KS.8.lemma100.029	KS.8.lemma100.030	KS.8.lemma100.031	KS.8.lemma100.032	KS.8.lemma100.033	KS.8.lemma100.034	KS.8.lemma100.035	KS.8.lemma100.036	KS.8.lemma100.037	KS.8.lemma100.038
MS.1.6.lemma100.033	0.9659786	0.9480561	0.9314187	0.9416309	0.91785663	0.94754934	0.9381292	0.9333406	0.93992317	0.9093025	0.89579463	0.917445	0.9094588	0.91380376	0.94074553	0.90689224	0.9010273	0.94117147	0.89948094	0.92677265	0.9321553	0.9265195	0.95205957	0.9418009	0.9071978	0.93837845	0.9288473	0.9458651	0.9689903	0.94019365	0.9446475	0.9433433	0.9515184	0.9564071	0.96724725	0.9656202	0.95034844	0.9480551	0.9217834
MS.1.6.lemma100.034	0.9537539	0.9423258	0.93309546	0.95609295	0.92275244	0.9287133	0.9448582	0.9364582	0.94913983	0.91745716	0.9131994	0.9110952	0.9072706	0.9311869	0.94300514	0.9272537	0.9115685	0.9466589	0.9264052	0.93882906	0.95073	0.9404404	0.9458491	0.95992994	0.91970867	0.9403119	0.93862635	0.95816314	0.9532544	0.9415909	0.9480298	0.9407564	0.9517413	0.9563105	0.9670161	0.96408737	0.92986506	0.9585551	0.9270841
MS.1.6.lemma100.035	0.9579578	0.9442619	0.927852	0.9510235	0.90324146	0.92131865	0.9520559	0.95249885	0.93637335	0.9350262	0.866789	0.90047103	0.91660166	0.9162896	0.94848984	0.9116902	0.9303708	0.93247235	0.9151859	0.94564146	0.93769455	0.9388281	0.9336831	0.9341242	0.9235708	0.9396343	0.9136883	0.9525767	0.9415154	0.94725233	0.94470894	0.94970536	0.9316199	0.95075047	0.9586146	0.95383394	0.9538207	0.95827603	0.92857665
MS.1.6.lemma100.036	0.9401062	0.9453408	0.93839556	0.9500749	0.9000576	0.91177744	0.9454783	0.9387642	0.9056874	0.92202854	0.89465094	0.9150997	0.9006324	0.94495964	0.9544126	0.9458655	0.94774735	0.9414127	0.9328291	0.9377268	0.9106279	0.91275513	0.92430437	0.9378331	0.9414841	0.9444035	0.89568585	0.9567584	0.94189614	0.94573104	0.9487569	0.9341225	0.939544	0.95817804	0.94494945	0.94768405	0.93438494	0.94036794	0.9455448
MS.1.6.lemma100.037	0.93954504	0.949128	0.91836625	0.9177137	0.91251534	0.919856	0.9052667	0.9154464	0.8971637	0.88970226	0.8696696	0.90657926	0.8872554	0.87819856	0.91860414	0.87108403	0.87249523	0.8944158	0.8849711	0.90655494	0.90241396	0.911648	0.9113184	0.86538595	0.8643926	0.88727874	0.91104245	0.91920716	0.9154194	0.90128875	0.9014382	0.9108294	0.8883124	0.91050017	0.9234856	0.90946764	0.9333729	0.93086696	0.92477256
MS.1.6.lemma100.038	0.93393457	0.9213327	0.9185615	0.94681895	0.88461024	0.89661276	0.9569276	0.94470066	0.91204506	0.95218766	0.8661238	0.86772037	0.8996407	0.9370262	0.95800555	0.9340554	0.9355831	0.91977876	0.9272192	0.94444937	0.91892993	0.9259655	0.9085072	0.9288251	0.95047987	0.94438374	0.88788813	0.9439751	0.93731016	0.9454498	0.9450398	0.94173473	0.9426491	0.95411205	0.9421851	0.9490807	0.93414485	0.94115955	0.92989415
MS.1.6.lemma100.039	0.9578088	0.9414134	0.9442654	0.95586854	0.9048967	0.9279584	0.96041393	0.9631317	0.95029163	0.96676487	0.88264775	0.89763665	0.9160674	0.9281887	0.9543782	0.9253958	0.929601	0.9381913	0.94562125	0.9574699	0.9299918	0.9567252	0.93562686	0.9347042	0.9240908	0.9375242	0.91264206	0.9598443	0.954206	0.95912325	0.9563271	0.95528334	0.9568305	0.967388	0.94993705	0.9556394	0.94928527	0.9484798	0.94109267
MS.1.6.lemma100.040	0.9391938	0.9454138	0.9339589	0.9603568	0.8926571	0.91743946	0.95278955	0.9455882	0.9086326	0.9331024	0.88492155	0.9066415	0.9140074	0.94158924	0.9793186	0.94992673	0.94667464	0.94696814	0.9337123	0.94609016	0.9199858	0.92254233	0.93061626	0.95521265	0.9349606	0.9438065	0.9011906	0.95014036	0.9340597	0.93892723	0.94406664	0.9554543	0.9479436	0.9580328	0.9564092	0.96107614	0.9445959	0.94633615	0.94061244
MS.1.6.lemma100.041	0.9147285	0.9296704	0.92148733	0.9458411	0.8768028	0.90445364	0.92924595	0.9367853	0.8936095	0.9316618	0.87024635	0.8890066	0.884345	0.92105323	0.9712909	0.9434171	0.9427224	0.92641383	0.9228872	0.9415138	0.9136377	0.8958217	0.9004748	0.92390805	0.9452382	0.93323606	0.8954111	0.9302703	0.92496544	0.92174053	0.9286283	0.92931134	0.92893845	0.9415035	0.93534356	0.93751484	0.9289111	0.9435331	0.9437627
MS.1.6.lemma100.042	0.9438659	0.9522345	0.94366765	0.9655544	0.9037779	0.9322492	0.95321727	0.9459929	0.9186702	0.9288725	0.9001275	0.91106516	0.9038814	0.93245846	0.9749524	0.94446456	0.95628196	0.9373524	0.926452	0.9431639	0.91497135	0.9279077	0.9355138	0.9432291	0.9132066	0.9326913	0.89459866	0.94711167	0.93691456	0.9353702	0.94451433	0.9531885	0.9383803	0.95001984	0.94664276	0.9611362	0.95293885	0.95313084	0.9492858
